City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
83,pangai,TO,81.27,82,100,16.24,-19.8,-174.35,1680012778
84,altay,CN,36.72,73,41,7.11,47.8667,88.1167,1680012778
85,bazarnyye mataki,RU,48.13,63,7,9.13,54.8833,49.9333,1680012778
86,umm lajj,SA,77.05,53,0,15.73,25.0213,37.2685,1680012779
87,roald,NO,40.33,38,0,6.91,62.5833,6.1333,1680012779
88,kannod,IN,87.15,18,2,2.77,22.6667,76.7333,1680012779
89,barranca,PE,77.68,69,55,5.32,-10.75,-77.7667,1680012779
90,dikson,RU,-7.35,96,100,13.18,73.5069,80.5464,1680012780
91,naryan-mar,RU,16.27,86,28,10.47,67.6713,53.087,1680012780
92,goderich,CA,37.9,87,15,9.91,43.7501,-81.7165,1680012780
93,japura,ID,75.72,94,70,1.57,-0.3167,102.35,1680012780
94,tombouctou,ML,100.69,6,40,15.99,20.0,-3.0,1680012780
95,nome,US,8.67,92,100,9.22,64.5011,-165.4064,1680012781
96,rawah,IQ,74.16,30,0,6.64,34.4816,41.9093,1680012781
97,avarua,CK,75.25,94,40,2.3,-21.2078,-159.775,1680012781
98,ilulissat,GL,10.42,67,75,6.91,69.2167,-51.1,1680012781
99,santona,ES,82.71,53,100,6.4,43.4439,-3.4576,1680012782
100,pochutla,MX,76.82,48,2,1.36,15.7432,-96.4661,1680012782
101,olafsvik,IS,31.8,54,100,12.62,64.8945,-23.7142,1680012782
102,yazd,IR,69.91,28,40,9.22,31.8972,54.3675,1680012518
103,luderitz,NA,71.2,66,4,12.53,-26.6481,15.1594,1680012783
104,ponta delgada,PT,63.32,88,40,26.46,37.7333,-25.6667,1680012784
105,bud,US,38.01,87,54,3.36,39.447,-86.1758,1680012784
106,katsuura,JP,54.75,77,81,14.34,35.1333,140.3,1680012554
107,berlevag,NO,30.2,69,75,16.11,70.8578,29.0864,1680012785
108,bereda,ES,72.57,39,100,6.55,43.2686,-7.5406,1680012785
109,boyolangu,ID,77.04,90,100,2.86,-8.1181,111.8935,1680012785
110,ponta do sol,PT,79.12,20,100,4.41,32.6667,-17.1,1680012786
111,lebu,CL,56.35,90,70,7.31,-37.6167,-73.65,1680012501
112,mar del plata,AR,76.95,62,0,20.71,-38.0023,-57.5575,1680012639
113,osa,RU,34.3,85,100,11.65,57.2829,55.4567,1680012787
114,trincomalee,LK,81.82,70,18,11.43,8.5711,81.2335,1680012787
115,camacha,PT,71.02,46,0,4.61,33.0833,-16.3333,1680012787
116,broome,US,40.86,76,75,12.66,42.2506,-75.833,1680012787
117,quesnel,CA,18.9,97,16,1.14,52.9999,-122.5029,1680012788
118,jalu,LY,82.67,16,5,12.73,29.0331,21.5482,1680012788
119,ukiah,US,47.44,94,100,12.66,39.1502,-123.2078,1680012789
120,longyearbyen,SJ,3.04,66,20,8.05,78.2186,15.6401,1680012789
121,te anau,NZ,36.45,87,62,4.09,-45.4167,167.7167,1680012581
122,san jeronimo,PE,52.75,70,100,2.21,-11.9472,-75.2829,1680012790
123,bethel,US,42.19,86,100,8.16,41.3712,-73.414,1680012786
124,huambo,AO,70.99,70,86,3.8,-12.7761,15.7392,1680012790
125,alofi,NU,80.71,76,100,8.34,-19.0595,-169.9187,1680012580
126,homer,US,37.27,87,100,4.61,59.6425,-151.5483,1680012791
127,narsaq,GL,35.82,60,1,8.3,60.9167,-46.05,1680012791
128,carnarvon,AU,76.24,71,93,12.48,-24.8667,113.6333,1680012792
129,uhlove,UA,44.82,77,100,13.91,44.8215,33.6045,1680012792
130,lazaro cardenas,MX,73.67,60,2,3.11,17.9583,-102.2,1680012793
131,san patricio,US,73.26,79,100,21.41,28.017,-97.5169,1680012793
132,ust-kan,RU,34.63,88,6,2.48,50.9276,84.761,1680012794
133,ler,SS,99.64,12,74,6.42,8.3018,30.1418,1680012794
134,klaksvik,FO,40.12,71,100,25.99,62.2266,-6.589,1680012794
135,port elizabeth,ZA,73.85,45,100,14.14,-33.918,25.5701,1680012794
136,sept-iles,CA,37.06,83,100,1.99,50.2001,-66.3821,1680012795
137,new norfolk,AU,58.5,90,100,2.33,-42.7826,147.0587,1680012795
138,sechura,PE,78.42,79,100,5.44,-5.5569,-80.8222,1680012796
139,saint george,US,37.99,44,0,3.44,37.1041,-113.5841,1680012731
140,bhandara,IN,88.48,15,3,2.42,21.1667,79.65,1680012684
141,chokurdakh,RU,15.58,88,100,6.85,70.6333,147.9167,1680012797
142,bang saphan,TH,77.23,82,54,2.66,11.2126,99.5117,1680012797
143,fairbanks,US,26.94,80,100,9.22,64.8378,-147.7164,1680012600
144,nemuro,JP,34.72,86,2,7.99,43.3236,145.575,1680012798
145,belaya gora,RU,4.41,88,67,7.0,68.5333,146.4167,1680012732
146,san cristobal,VE,68.18,65,91,5.03,7.7669,-72.225,1680012799
147,skibbereen,IE,53.11,81,58,15.88,51.55,-9.2667,1680012799
148,sabzevar,IR,60.08,77,40,9.22,36.2126,57.6819,1680012799
149,nanortalik,GL,30.94,60,3,0.96,60.1432,-45.2371,1680012800
150,sorong,ID,78.69,82,100,1.54,-0.8833,131.25,1680012801
151,zhangye,CN,52.3,15,3,3.51,38.9342,100.4517,1680012523
152,iqaluit,CA,13.69,78,100,8.99,63.7506,-68.5145,1680012802
153,acarau,BR,81.34,75,70,3.53,-2.8856,-40.12,1680012802
154,ferrol,ES,73.24,15,100,6.33,43.4832,-8.2369,1680012802
155,airai,TL,59.81,93,100,2.01,-8.9266,125.4092,1680012802
156,caceres,ES,75.04,31,20,2.46,39.522,-6.3748,1680012539
157,coquimbo,CL,62.33,88,100,5.75,-29.9533,-71.3436,1680012803
158,nador,MA,66.45,72,75,9.22,35.174,-2.9287,1680012803
159,frutigen,CH,49.17,60,100,1.83,46.5878,7.6475,1680012804
160,kenai,US,32.09,96,100,6.91,60.5544,-151.2583,1680012804
161,georgetown,MY,84.13,79,20,2.3,5.4112,100.3354,1680012725
162,calabozo,VE,85.84,43,91,10.92,8.9242,-67.4293,1680012804
163,rajapur,IN,84.96,15,0,6.44,25.3833,81.15,1680012805
164,san quintin,MX,54.18,73,4,3.2,30.4833,-115.95,1680012805
165,zaozerne,UA,45.03,70,98,20.62,45.1582,33.2787,1680012732
166,victoria,HK,69.33,85,100,8.01,22.2855,114.1577,1680012727
167,conway,US,54.18,69,0,8.05,35.0887,-92.4421,1680012509
168,novikovo,RU,54.97,54,100,17.16,51.1537,37.8879,1680012806
169,saldanha,ZA,64.71,77,32,19.26,-33.0117,17.9442,1680012807
170,kupang,ID,79.38,100,40,2.3,-10.1667,123.5833,1680012807
171,komsomolskiy,UZ,74.12,21,100,2.3,40.4272,71.7189,1680012560
172,catuday,PH,78.22,81,100,6.29,16.2923,119.8062,1680012807
173,adolfo lopez mateos,MX,43.93,25,96,5.3,28.4667,-107.3,1680012808
174,kodiak,US,26.11,93,0,4.61,57.79,-152.4072,1680012743
175,tasiilaq,GL,12.36,64,27,3.31,65.6145,-37.6368,1680012808
176,thompson,CA,-7.08,96,93,6.87,55.7435,-97.8558,1680012808
177,roebourne,AU,84.92,55,100,1.12,-20.7833,117.1333,1680012809
178,sijunjung,ID,73.44,97,100,1.79,-0.6876,100.9537,1680012809
179,chumikan,RU,36.12,73,100,15.1,54.7183,135.315,1680012809
180,grants pass,US,44.11,95,100,0.0,42.439,-123.3284,1680012810
181,cortez,US,23.7,73,0,0.0,37.3489,-108.5859,1680012810
182,trinidad,BO,81.55,71,35,2.62,-14.8333,-64.9,1680012810
183,broken hill,AU,71.65,52,72,14.52,-31.95,141.4333,1680012810
184,undory,RU,46.53,61,43,7.58,54.6085,48.3928,1680012811
185,vaini,TO,80.08,79,76,4.23,-21.2,-175.2,1680012811
